"authorMeta.avatar","authorMeta.name","authorMeta.nickName","authorMeta.verified","authorMeta.signature","authorMeta.fans","authorMeta.video","authorMeta.privateAccount","authorMeta.ttSeller","authorMeta.bioLink","authorMeta.id","text"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/70fb00ae8adddfbc512ee70ec2e353e7~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=1d46546c&x-expires=1753884000&x-signature=nEw3Yt6jKiLEIx6%2FYkxSiSuRxL4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a","praneatseafood","ร้านอาหารประณีต 🦀✨","false","IG : praneatseafood 
ร้านอาหารไทยประยุกต์ @พัทยา
📞 038 111 877, 080 044 8238","2669","251","false",,,"7241918823389365253","✨เมนูของทานเล่นเพื่อเรียกน้ำย่อย อร่อยแบบไทยแท้ทุกเมนู 🍽 #ร้านอาหารประณีต #ร้านอาหารไทยพัทยา"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/dbf92485e799540882fefb42dca102cd~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=6c020b5a&x-expires=1753884000&x-signature=KvV%2FS6%2FQPkMtRxc11dbInxdSG5M%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a","nourivebliss.ncafe","Nourive Bliss N.Cafe","false","มัทฉะลาเต้ 3in1🍵
สูตรคลีน💚 ไม่มีน้ำตาล✅ ไม่มีนมวัว✅
ชงง่าย ดื่มได้ทุกวัน","2984","271","false",,,"7115265433398297605","6 อาหารไทย ที่คนฝรั่งชอบมาก😋 #อาหารไทย #foodtiktok #ncafe "
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2e79913e54dd810289ac7501c9cc36e3~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=29cb4822&x-expires=1753884000&x-signature=nUJmtrusZ9LS1mWSE0RGAXlR6IA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a","krua.pa.pleon","ครัวพาเพลิน🍳","false","👩‍🍳พื้นที่แบ่งปันสูตรความอร่อย🍳
💼 ติดต่องาน Line: @kruapapleon","250600","284","false",,,"7279733968840016901","ต้มข่าปีกไก่🍃 อร่อยกลมกล่อม😋
🥣ส่วนผสม
• ปีกกลางไก่ 700 กรัม
• เห็ดนางฟ้า 200 กรัม
• หัวกะทิ 500 มล.
• น้ำเปล่า 800 มล.
• ข่าอ่อนหั่นแว่น 30 กรัม
• ตะไคร้ 1 ต้น
• ใบมะกรูด 5-6 ใบ
• หอมแดง 5 หัว
• ซุปไก่ 1 ก้อน
• เกลือป่น 1 ช้อนชา
• น้ำปลา 4 ช้อนโต๊ะ
• น้ำมะขามเปียก 2 ช้อนโต๊ะ
• น้ำตาลมะพร้าว 2 ช้อนโต๊ะ
• น้ำพริกเผา 1 ช้อนชา 
• น้ำมะนาว 2 ช้อนโต๊ะ
• พริกจินดา 10 เม็ด
• พริกแห้งคั่ว 10 เม็ด
• ผักชีฝรั่ง 10 กรัม
(ปรุงรสเพิ่มตามชอบ)
#ต้มข่าไก่ #ต้มข่าปีกไก่ #อาหารไทย #ห้องครัวtiktok #tiktokทําอาหาร #tiltokพากิน "
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/3b37a32a40288d4345bd1e84a4c1ad12~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=4046493e&x-expires=1753884000&x-signature=pXagYPg7NVaA%2FwsiC85nK9kLGWM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a","pook.cooking","Pook.cooking","false","Home Cooking 👩🏻‍🍳🍳🫶🏻
———————-----------------
Line For work 💌","163700","253","false",,,"6952123345173677058","ข้าวหมูสามชั้นคั่วพริกเกลือ 🍚🐽🌶️

🥣วัตถุดิบ
•หมูสามชั้น / Pork Belly
•ข้าว / Rice
•กระเทียม / Garlic
•พริกแดง / Red chili
•ต้นหอม / Spring onion
•ผักชี / Coriander
•เกลือ / Salt

#tiktokทำอาหาร #เมนูง่ายๆ #เมนูประจําวัน #อาหารไทย #หมูสามชั้นคั่วพริกเกลือ #สามชั้นคั่วพริกเกลือ #อาหารทําเอง "
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7325412074807853058~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=fca1b4dc&x-expires=1753884000&x-signature=nTUst92zOAhhBowakXVMt4rIxuk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a","annhomecooking","Annhomecooking","false","ฝากติดตามด้วยนะคะ สั่งซื้อสินค้าที่ LINE OA: @yahomm หรือ คลิก ⤵️","114800","547","false",,,"6832525909912847361","ยำขนมจีน ใส่อะไรไม่ต้องเยอะ แค่นี้ก็อร่อยแล้วว #ยําขนมจีน #เมนูง่ายๆ #อร่อยบอกต่อ #ทําอาหาร #อาหารไทย "
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6e31848a5765719559560c4a83c4cb0f~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=075dc254&x-expires=1753884000&x-signature=VwJ%2FcDZKhXTXSgIGFoU%2FNarHHTo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a","bee_nil","BB’s World","false","Life in Saudi Arabia 🇸🇦|แชร์ชีวิตมุมต่างๆในซาอุ|Digital marketer","5414","73","false",,,"6593228475020214273","ทำอาหารไทยไปให้เพื่อนสามีในซาอุ🇸🇦 ชิมครั้งแรก…อร่อยจนเพื่อนขอห่อกลับ 🥰🥰 
@BB’s World #คนไทยในต่างแดน #ซาอุดิอาระเบีย #ตะวันออกกลาง #tiktokเที่ยวต่างประเทศ #tiktokพาเที่ยว #Thaifood #อาหารไทย #อาหารไทยในต่างแดน "
"https://p16-pu-sign-no.tiktokcdn-eu.com/tos-no1a-avt-0068c001-no/b4e9f652fc9e64087e96afa693b0ebc8~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=7a9b8986&x-expires=1753884000&x-signature=p1LOlG1lVd81d9qzH%2BR6mQu9lJc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a","spaghettitomyum","Jack500cc","false","Copenhagen 🇩🇰
มาฝึกภาษาไทยไปดัวยกันค้าบ
ig: jack.500cc (DM for work)","243000","85","false",,,"7385430643624657952","ของดีของไทย🇹🇭 @vigo.gogo #ฝรั่ง #ต้มยํา #อาหารไทย ##เด็ด"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2e43fcb404732c9e18cf2823723ea9c2~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=893f1011&x-expires=1753884000&x-signature=IHKSp3tQq%2BOEN9RyC%2BKrjTHwCmc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a","neverbethe1st","waris🫐✨","false","no.1 in his heart
🦥 ig: walisssr","460","52","false",,,"6967260277905851394","หิวละ🤤 @แอคนี้พี่ชุติ #fyppppppppppppppppppppppp #fyp #อาหารไทย "
"https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/50bdea79ec6da431bd0e1ea3d0e1a879~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=147a98e6&x-expires=1753884000&x-signature=bU9x9c142OK1f%2Bu09%2B1HY177m4g%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a","ekkalak6515","เป็นเอก Channel","false","ติดต่องานรีวิว และและเป็นสปอนเซอร์ช่อง
ติดต่อ LINE:penaekchannel","165500","901","false",,,"6845767243608310785","งานวัดสระเกตุ ภูเขาทอง ไปต้องกินร้านนี้เลย#ปลาหมึกย่าง #อร่อยบอกต่อ #อาหาร #thaifood #streetfood "
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c1bddb154d92c8078dd9fbef17f54869~tplv-tiktokx-cropcenter:720:720.jpeg?dr=10399&refresh_token=cb018896&x-expires=1753884000&x-signature=4nqC2KoCVqLnzsx%2F%2By5R6SIDBaA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=no1a","mesatang_2255","ครัวหลงน่าน","false","(ห้ามดูดคลิปไปใช้)
👇พิกัดสินค้ากดที่ตระกร้านะคะ 👇","409100","1216","false",,,"6922753172482851842","ตอบกลับ @Bussarakam Nimtrongp ปลาทอดราดราดซอสน้ำจิ้มไก่ #tiktokพาทํา #ครัวหลงน่าน #ห้องครัวtiktok #tiktokuni #ทํากินเอง #ลําขนาด #อาหารไทย #ปลาทอด #อาหารเย็น 
@ครัวหลงน่าน 
@ครัวหลงน่าน 
@ครัวหลงน่าน "
